"species","prop_consumption_raw","prop_consumption_scaled","prop_consumer_bio_raw","prop_consumer_bio_scaled"
"kelp greenling",0.00038176642382956,0.0298618601317534,0.000204184032770434,0.0100617414982889
"kelp rockfish",2.17680731578403e-05,0.00170270384036552,1.16424407322788e-05,0.000573713955336771
"leopard shark",0.00414670240767592,0.324356044892274,0.000210745927232293,0.0103850972716001
"lingcod",0.0272452293005606,2.13112829166486,0.00282237214015995,0.139080311525584
"longnose skate",0.0140275680597897,1.09723969747823,0.00215877544195046,0.106379721053806
"longspine thornyhead",0.000200822849391868,0.0157084108645382,0.00373006983751054,0.183809664087652
"olive rockfish",0.00017681647871892,0.0138306268621748,9.45685619047914e-05,0.00466013140616511
"Pacific cod",0.00209246247707146,0.16367291076689,0.00247825136712792,0.122122794253249
"Pacific ocean perch",0.000273247370540511,0.0213734740698229,0.00134486321717787,0.0662719109726603
"Pacific sanddab",3.86263265657357e-05,0.00302136041650533,0.00141675308465713,0.0698144860364794
"Pacific spiny dogfish",0.0897911107055401,7.02348195545009,0.00655914395784585,0.323220234503396
"petrale sole",0.00635238775017048,0.496885275020791,0.000771441725996632,0.0380149570103696
"quillback rockfish",1.00588930115652e-05,0.000786808994825945,5.37990041058369e-06,0.000265109697772949
"redbanded rockfish",2.4277856368744e-06,0.000189901967781719,4.68458992552264e-05,0.0023084632141188
"redstripe rockfish",0.000212494114869315,0.0166213400156981,0.00011365039617358,0.00560044236545354
"rex sole",2.20767840234074e-05,0.00172685127741942,0.000809741817183747,0.0399023015380336
"rock sole",5.36633197653524e-07,4.19755758760478e-05,1.96828641421851e-05,0.00096992839379987
"rosethorn rockfish",5.347533742679e-05,0.00418285356453989,1.07435795950701e-05,0.000529420049085936
"rosy rockfish",3.73279232851052e-05,0.00291979900423691,1.99644741799004e-05,0.000983805519079301
"rougheye rockfish",9.93779398936021e-06,0.000777336600614578,0.000191757002337372,0.00944936468256888
"sablefish",0.0852088023349261,6.66505270891968,0.00773969700874957,0.381395300702449
"sand sole",6.22076144566275e-06,0.000486589434293256,0.000228167774433846,0.0112436077074372
"sharpchin rockfish",1.78749531361255e-05,0.00139818306978964,0.000344910292362089,0.0169964230540417
"shortraker rockfish",8.19432135964789e-07,6.40961758401494e-05,1.58115422979938e-05,0.000779158140492522
"shortspine thornyhead",0.0129871583543172,1.01585860379041,0.00934938745874494,0.460717317122447
"silvergray rockfish",0.000570047096969581,0.0445892189979952,0.000114526558483448,0.00564361772325608
"speckled rockfish",0.000141174890806726,0.0110427334103853,2.83630501309852e-05,0.00139766892958687
"splitnose rockfish",0.000124771618745362,0.00975966558297935,0.00299810797706578,0.1477401882992
"squarespot rockfish",4.02847541948484e-05,0.00315108301862005,8.09349662828618e-06,0.000398829770311405
"starry flounder",7.16610478485748e-06,0.000560534414284795,0.00026284148562885,0.0129522521792735
"starry rockfish",0.00022317040819447,0.0174564422093465,4.48365388434261e-05,0.00220944633818531
"stripetail rockfish",0.000228161439687637,0.0178468418753702,4.5839272938966e-05,0.00225885887609999
"treefish",1.05304036214823e-05,0.000823690666458411,5.6320832423298e-06,0.000277536714856056
"vermilion rockfish",0.000994641276138293,0.0778010763004419,0.000199830580468305,0.00984721291299842
"widow rockfish",0.00308430566808699,0.241255120186021,0.00400772071463474,0.197491690612899
"yelloweye rockfish",0.00105920438299797,0.0828512178172761,8.10986480541779e-05,0.00399636358196177
"yellowmouth rockfish",8.42533148308478e-06,0.000659031424994728,0.000162572932244798,0.008011237689213
"yellowtail rockfish",0.0153956505669209,1.20425143535408,0.00528415077312227,0.260391365552648
